CÓDIGO RENIPRESS,lat,lon
00001529,-9.37949333,-77.59065
00001858,-9.02680561,-77.34955991
00006631,-9.02105819,-77.26993722
00001724,-9.36013132,-78.152168
00001729,-9.51616776,-78.05044862
00001631,-8.660595,-77.902315
00001816,-9.38011695,-77.17203629
00001815,-9.32081957,-77.16875432
00001829,-9.57670727,-77.21385761
00006644,-9.15836587,-76.79997447
00001840,-9.36702785,-77.09914375
00001746,-9.77374533,-77.94948745
00001591,-8.99097833,-77.800445
00001603,-9.01701167,-77.86511
00001613,-9.17552585,-77.79767837
00001610,-8.92178167,-77.84143
00001788,-8.91434573,-77.30110763
00009839,-8.984415,-77.49816
00017687,-8.92249999,-77.38811958
00001686,-8.35679727,-78.01881345
00001685,-8.35132524,-78.05000211
00001690,-8.20083573,-77.60650858
00001689,-8.27489885,-77.66860054
00001688,-8.26444022,-77.85198442
00001687,-8.3297298,-77.97607032
00001697,-8.11825372,-77.65339423
00001696,-8.19400779,-77.89265982
00001767,-8.82082724,-77.48180674
00001770,-8.84998151,-77.52036189
00001779,-8.62334745,-77.48189525
00001781,-8.7006331,-77.39953969
00001478,-10.01032333,-77.57041667
00037098,-9.09512387,-78.56265065
00027134,-9.057738,-78.587071
00025678,-9.087495,-78.57447
00001662,-9.06854793,-78.59433687
00001710,-8.97890945,-78.05819521
00033542,-9.17398333,-78.36055978
00001714,-9.17195511,-78.35714242
00001679,-8.96477294,-78.58541942
00033552,-9.11983598,-78.52174928
00027639,-9.12254973,-78.52786414
00024760,-9.1052648,-78.445126
00009731,-8.56225775,-77.60027068
00009923,-9.1392751,-77.7456709
00001634,-9.12940456,-77.70046748
00001633,-9.13836806,-77.74555107
00001738,-9.32791209,-78.0410111
00001639,-9.38440833,-77.88302667
00032144,-13.63464428,-72.88396824
00034318,-13.6380026,-72.87867301
00031861,-13.6359763,-72.8742729
00011976,-13.64550167,-72.90004
00002661,-13.62778285,-72.85941691
00011213,-13.64184167,-72.89601667
00002668,-13.87812833,-72.93262333
00002638,-13.55081693,-72.62164096
00002648,-13.86872833,-72.78476
00002691,-13.766155,-72.85198333
00002674,-13.82357167,-73.042495
00002675,-13.75059724,-72.97133649
00035597,-13.6616515,-73.3767641
00036342,-13.6565693,-73.38177319
00035044,-13.6616546,-73.3767679
00033637,-13.65658997,-73.38162963
00033607,-13.65665512,-73.38140433
00033996,-13.65819324,-73.38328499
00031064,-13.65640225,-73.38887524
00031959,-13.65710603,-73.38228409
00031668,-13.6556961,-73.3840508
00030713,-13.6616515,-73.3767641
00020961,-13.66001952,-73.39130709
00002640,-13.64197833,-73.09047
00004166,-14.05120994,-73.60907329
00004186,-13.62946998,-73.19946766
00004184,-13.69629327,-73.15140993
00002646,-13.58774333,-73.11921167
00007154,-13.61448106,-73.29426101
00032821,-13.65137627,-73.36592043
00031038,-13.6554765,-73.35730315
00004179,-13.67864585,-73.2670357
00018568,-13.656893,-73.317661
00012017,-13.67898835,-73.28077718
00004202,-13.65727131,-73.49410174
00004200,-13.67927749,-73.45577002
